Year_Week,Year,Week,Is Weekend,Day Of Week,Date,Program,Workout,Activity Type,Description,Time (m),Instructor
2022_33,2022,33,TRUE,1,8/7/2022,Sound Meditation,Sample,Meditation,Calm Down,5,
2022_17,2022,17,FALSE,3,4/19/2022,22 Minute Hard Corps,,Abs,Core 1,10,Tony Horton
2022_36,2022,36,FALSE,5,9/1/2022,21 Day Fix Extreme Real Time,Bonus,Abs,Abs,13,Autumn
2021_45,2021,45,FALSE,6,11/5/2021,Morning Meltdown 100,,Cardio,Upbeat Strength,14,Jericho
2021_45,2021,45,FALSE,6,11/5/2021,Morning Meltdown 100,,Cardio,Core Inferno,16,Jericho
2021_45,2021,45,FALSE,5,11/4/2021,Morning Meltdown 100,,Cardio,Cardio Meltdown,17,Jericho
2021_46,2021,46,FALSE,2,11/8/2021,Morning Meltdown 100,,Cardio,Downbeat Strength,17,Jericho
2021_46,2021,46,FALSE,2,11/8/2021,Morning Meltdown 100,,Cardio,Total Body Badass,17,Jericho
2022_25,2022,25,FALSE,2,6/13/2022,Job 1,Start Strong,Cardio,"Back, Glutes, Core",19,Jennifer Jacobs
2022_2,2022,2,FALSE,4,1/5/2022,Morning Meltdown 100,Workout 6,Cardio,LIT Cardio,20,Jericho
2022_15,2022,15,FALSE,4,4/6/2022,Job 1,,Cardio,Sample Workout,21,Jennifer Jacobs
2022_8,2022,8,FALSE,5,2/17/2022,9 Week Control Freak,Phase 3 Week 1 Workout 2,Cardio,Tabata Cardio,22,Autumn
2022_12,2022,12,FALSE,6,3/18/2022,9 Week Control Freak,Phase 3 Week 2 Workout 2,Cardio,Tabata Cardio,22,Autumn
2022_14,2022,14,FALSE,3,3/29/2022,9 Week Control Freak,Phase 3 Week 3 Workout 2,Cardio,Tabata Cardio,22,Autumn
2022_16,2022,16,FALSE,3,4/12/2022,22 Minute Hard Corps,,Cardio,Cardio 3,22,Tony Horton
2022_16,2022,16,FALSE,5,4/14/2022,22 Minute Hard Corps,,Cardio,Resistance 1,22,Tony Horton
2022_16,2022,16,FALSE,6,4/15/2022,22 Minute Hard Corps,,Cardio,Resistance 3,22,Tony Horton
2022_17,2022,17,FALSE,2,4/18/2022,22 Minute Hard Corps,,Cardio,Resistance 2,22,Tony Horton
2021_47,2021,47,FALSE,2,11/15/2021,Morning Meltdown 100,Workout 3,Cardio,Core Inferno,23,Jericho
