Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cardio,2022-09-09 12:30:39,false,"Cardio","0.00","169","00:32:56","105","153","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","32:56.05","1","0.0","00:00:00","00:32:56","114","127"
Cardio,2022-09-07 10:24:36,false,"Cardio","0.00","143","00:28:04","104","132","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","28:04.35.5","1","0.0","00:00:00","00:28:04","33","33"
Cycling,2022-09-03 10:06:22,false,"Folsom Cycling","19.02","984","01:34:56","157","185","0","0","12.0","26.4","548","1,214","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","19:58.85","4","0.0","01:28:37","01:34:56","-127","208"
Cardio,2022-09-02 13:23:30,false,"Cardio","0.00","314","00:39:54","132","165","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","39:54.44","1","0.0","00:00:00","00:39:54","617","617"
Cardio,2022-09-01 12:59:17,false,"Cardio","0.00","259","00:28:02","140","163","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","28:02.22.3","1","0.0","00:00:00","00:28:02","615","628"
Cardio,2022-08-31 12:12:29,false,"Cardio","0.00","189","00:22:54","131","161","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","22:53.92","1","0.0","00:00:00","00:22:54","551","552"
Cardio,2022-08-30 13:10:06,false,"Cardio","0.00","268","00:31:49","138","176","0","0","--","--","--","--","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:49.23.3","1","0.0","00:00:00","00:31:49","566","568"
Cycling,2022-08-28 12:24:32,false,"South Lake Tahoe Cycling","4.58","302","00:38:16","129","155","0","0","7.2","16.4","131","72","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","38:16.15.8","1","0.0","00:35:38","00:38:16","6,208","6,249"
Cycling,2022-08-28 10:58:12,false,"South Lake Tahoe Cycling","2.08","114","00:16:03","121","140","0","0","7.8","16.6","46","138","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","16:03.13.5","1","0.0","00:14:52","00:20:15","6,193","6,230"
Cycling,2022-08-28 09:02:05,false,"El Dorado County Cycling","2.58","550","01:17:39","137","180","0","0","2.0","12.1","965","640","0.00","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:17:39.13.6","1","0.0","00:27:13","01:17:39","6,574","7,171"
